date,user_id,income_inr,total_spend_inr,spend_food_delivery_inr,spend_ecommerce_inr,spend_groceries_inr,spend_transport_inr,spend_entertainment_inr,spend_healthcare_inr,spend_rent_or_home_inr,spend_loan_emi_inr,spend_education_inr,spend_misc_inr,spend_upi_inr,spend_wallet_inr,spend_card_inr,spend_netbanking_inr,spend_bank_transfer_inr,spend_gpay_inr,spend_credit_card_inr,spend_debit_card_inr,cash_balance_est_inr
2025-08-22,U001,0.0,1134.43,215.0,45.85,199.24,96.84,0.0,113.84,0.0,0.0,0.0,463.66,724.51,313.08,96.84,0.0,0.0,678.66,96.84,0.0,-1134.43
2025-08-23,U001,0.0,2657.4,421.48,1223.62,206.24,175.66,132.72,73.49,0.0,0.0,0.0,424.19,670.63,1429.86,556.91,0.0,0.0,421.48,132.72,424.19,-3791.83
2025-08-24,U001,0.0,1243.17,326.43,228.67,37.01,260.11,110.78,98.02,0.0,0.0,0.0,182.15,219.16,665.88,98.02,260.11,0.0,219.16,98.02,0.0,-5035.0
2025-08-25,U001,0.0,1639.57,445.53,320.99,191.3,128.37,104.35,6.9,0.0,0.0,0.0,442.13,1069.07,0.0,128.37,442.13,0.0,748.08,128.37,0.0,-6674.57
2025-08-26,U001,0.0,2170.29,514.34,709.05,69.6,156.43,130.28,78.95,0.0,0.0,0.0,511.64,0.0,1025.98,987.88,156.43,0.0,0.0,987.88,0.0,-8844.86
2025-08-27,U001,0.0,1515.96,85.43,593.67,120.43,195.03,165.29,24.03,0.0,0.0,0.0,332.08,476.54,0.0,844.39,195.03,0.0,332.08,679.1,165.29,-10360.82
2025-08-28,U001,0.0,1217.3,89.16,262.61,0.0,231.36,49.1,88.96,0.0,0.0,0.0,496.11,496.11,543.07,89.16,88.96,0.0,496.11,89.16,0.0,-11578.12
2025-08-29,U001,0.0,1062.48,301.93,0.0,189.28,63.16,231.2,6.91,0.0,0.0,0.0,270.0,491.21,501.2,6.91,63.16,0.0,301.93,0.0,6.91,-12640.6
2025-08-30,U001,0.0,3104.77,535.86,1655.04,93.76,217.77,42.74,0.0,0.0,0.0,0.0,559.6,864.01,42.74,791.03,1406.99,0.0,864.01,791.03,0.0,-15745.37
2025-08-31,U001,45000.0,2395.29,868.49,25.83,174.13,241.62,146.82,56.4,0.0,0.0,0.0,882.0,1189.44,882.0,0.0,323.85,0.0,0.0,0.0,0.0,26859.34
2025-09-01,U001,0.0,1282.7,347.35,53.55,292.31,219.37,106.04,76.41,0.0,0.0,0.0,187.67,345.86,219.37,717.47,0.0,0.0,345.86,370.12,347.35,25576.64
2025-09-02,U001,0.0,1528.4,426.7,374.11,144.59,143.25,0.0,107.59,0.0,0.0,0.0,332.16,476.75,624.95,426.7,0.0,0.0,144.59,0.0,426.7,24048.24
2025-09-03,U001,0.0,1327.37,268.42,379.03,123.65,159.32,42.14,78.64,0.0,0.0,0.0,276.17,0.0,923.62,244.43,159.32,0.0,0.0,120.78,123.65,22720.87
2025-09-04,U001,0.0,2603.96,642.75,499.38,99.36,204.3,51.91,80.92,0.0,0.0,0.0,1025.34,598.74,1872.39,132.83,0.0,0.0,0.0,132.83,0.0,20116.91
2025-09-05,U001,0.0,13934.48,672.98,485.33,252.92,278.1,36.14,0.0,12000.0,0.0,0.0,209.01,983.4,672.98,12278.1,0.0,0.0,774.39,278.1,12000.0,6182.43
2025-09-06,U001,0.0,4095.08,0.0,2297.07,340.25,205.05,95.47,77.37,0.0,0.0,0.0,1079.87,1079.87,77.37,2502.12,435.72,0.0,0.0,1225.62,1276.5,2087.35
2025-09-07,U001,0.0,927.24,147.41,148.62,56.42,196.47,0.0,18.05,0.0,0.0,0.0,360.27,56.42,314.08,196.47,360.27,0.0,56.42,196.47,0.0,1160.11
2025-09-08,U001,0.0,1740.17,365.83,217.85,280.48,210.38,0.0,0.0,0.0,0.0,0.0,665.63,665.63,856.69,0.0,217.85,0.0,0.0,0.0,0.0,-580.06
2025-09-09,U001,0.0,1462.94,421.93,290.01,153.99,208.31,87.24,0.0,0.0,0.0,0.0,301.46,290.01,295.55,455.45,421.93,0.0,290.01,455.45,0.0,-2043.0
2025-09-10,U001,0.0,1022.08,230.5,0.0,194.59,192.47,54.33,0.0,0.0,0.0,0.0,350.19,773.16,0.0,54.33,194.59,0.0,542.66,54.33,0.0,-3065.08
2025-09-11,U001,0.0,1364.11,196.58,149.75,310.92,168.16,176.72,10.23,0.0,0.0,0.0,351.75,470.9,373.3,351.75,168.16,0.0,0.0,0.0,351.75,-4429.19
2025-09-12,U001,0.0,1357.64,306.97,69.53,316.22,272.41,172.08,10.43,0.0,0.0,0.0,210.0,658.16,10.43,306.97,382.08,0.0,316.22,306.97,0.0,-5786.83
2025-09-13,U001,0.0,2553.85,360.7,824.26,288.85,215.02,186.99,57.69,0.0,0.0,0.0,620.34,0.0,1444.6,836.54,272.71,0.0,0.0,836.54,0.0,-8340.68
2025-09-14,U001,0.0,1880.91,548.41,594.89,220.78,183.7,0.0,67.31,0.0,0.0,0.0,265.82,183.7,662.2,220.78,814.23,0.0,183.7,220.78,0.0,-10221.59
2025-09-15,U001,0.0,650.98,68.98,10.69,156.67,139.02,80.49,35.43,0.0,0.0,0.0,159.7,104.41,139.02,80.49,327.06,0.0,68.98,80.49,0.0,-10872.57
2025-09-16,U001,0.0,1633.68,455.63,88.13,347.43,174.14,340.22,120.13,0.0,0.0,0.0,108.0,568.35,609.7,0.0,455.63,0.0,340.22,0.0,0.0,-12506.25
2025-09-17,U001,0.0,1881.16,663.49,79.96,180.15,287.07,0.0,9.93,0.0,0.0,0.0,660.56,9.93,287.07,923.6,660.56,0.0,9.93,923.6,0.0,-14387.41
2025-09-18,U001,0.0,741.57,154.55,0.0,0.0,221.0,130.38,91.64,0.0,0.0,0.0,144.0,130.38,0.0,375.55,235.64,0.0,130.38,375.55,0.0,-15128.98
2025-09-19,U001,0.0,1987.31,536.92,12.11,113.58,275.39,144.1,76.24,0.0,0.0,0.0,828.97,275.39,828.97,726.74,156.21,0.0,275.39,613.16,113.58,-17116.29
2025-09-20,U001,0.0,2820.64,96.81,1536.38,354.09,190.38,102.98,0.0,0.0,0.0,0.0,540.0,96.81,965.48,1218.35,540.0,0.0,0.0,190.38,1027.97,-19936.93
2025-09-21,U001,0.0,1971.91,482.4,427.6,114.08,143.55,128.5,25.63,0.0,0.0,0.0,650.15,482.4,257.63,0.0,1231.88,0.0,482.4,0.0,0.0,-21908.84
