txn_id,user_id,txn_datetime,direction,category,merchant,amount_inr,payment_method,payment_rail,payment_subtype,instrument_id,is_upi,is_gpay,is_credit_card,notes
T000001,U001,2025-08-22T22:35:00,debit,FOOD_DELIVERY,Zomato,215.0,upi,UPI,gpay,PI001,True,True,False,Food order
T000002,U001,2025-08-22T12:15:00,debit,ECOMMERCE,Myntra,45.85,upi,UPI,bank_upi,PI003,True,False,False,Online shopping
T000003,U001,2025-08-22T10:20:00,debit,GROCERIES,Local store,199.24,wallet,WALLET,paytm_wallet,PI006,False,False,False,
T000004,U001,2025-08-22T20:25:00,debit,TRANSPORT,Uber,96.84,card,CARD,credit_card,PI004,False,False,True,
T000005,U001,2025-08-22T16:50:00,debit,HEALTHCARE,Lab test,113.84,wallet,WALLET,paytm_wallet,PI006,False,False,False,
T000006,U001,2025-08-22T16:15:00,debit,MISC,UPI transfer,463.66,upi,UPI,gpay,PI001,True,True,False,
T000007,U001,2025-08-23T23:45:00,debit,FOOD_DELIVERY,Zomato,421.48,upi,UPI,gpay,PI001,True,True,False,Food order
T000008,U001,2025-08-23T18:25:00,debit,ECOMMERCE,Amazon,1223.62,wallet,WALLET,amazon_pay,PI035,False,False,False,Online shopping
T000009,U001,2025-08-23T11:50:00,debit,GROCERIES,DMart,206.24,wallet,WALLET,paytm_wallet,PI006,False,False,False,
T000010,U001,2025-08-23T15:45:00,debit,TRANSPORT,Ola,175.66,upi,UPI,phonepe,PI002,True,False,False,
T000011,U001,2025-08-23T17:00:00,debit,ENTERTAINMENT,Netflix,132.72,card,CARD,credit_card,PI004,False,False,True,
T000012,U001,2025-08-23T14:20:00,debit,HEALTHCARE,Pharmacy,73.49,upi,UPI,bank_upi,PI003,True,False,False,
T000013,U001,2025-08-23T10:05:00,debit,MISC,Wallet,424.19,card,CARD,debit_card,PI005,False,False,False,
T000014,U001,2025-08-24T22:15:00,debit,FOOD_DELIVERY,Zomato,326.43,wallet,WALLET,paytm_wallet,PI006,False,False,False,Food order
